2017/12/02 14:28:32.81: internet is not connected
2017/12/02 14:28:32.82: internet is not connected
2017/12/02 14:28:32.83: internet is not connected
2017/12/02 14:28:32.83: internet is not connected
2017/12/02 14:28:32.84: internet is not connected
2017/12/02 14:28:32.85: internet is not connected
2017/12/02 14:28:32.85: internet is not connected
2017/12/02 14:28:32.86: internet is not connected
2017/12/02 14:28:32.86: internet is not connected
2017/12/02 14:28:32.87: internet is not connected
2017/12/02 14:28:32.88: internet is not connected
2017/12/02 14:28:32.88: internet is not connected
2017/12/02 14:28:32.89: internet is not connected
2017/12/02 14:28:32.90: internet is not connected
2017/12/02 14:28:32.90: internet is not connected
2017/12/02 14:28:32.91: internet is not connected
2017/12/02 14:28:32.91: internet is not connected
2017/12/02 14:28:32.92: internet is not connected
2017/12/02 14:28:32.93: internet is not connected
2017/12/02 14:28:32.93: internet is not connected
2017/12/02 14:28:32.94: internet is not connected
2017/12/02 14:28:32.95: internet is not connected
2017/12/02 14:28:32.95: internet is not connected
2017/12/02 14:28:32.96: internet is not connected
2017/12/02 14:28:32.96: internet is not connected
2017/12/02 14:28:32.97: internet is not connected
2017/12/02 14:28:32.98: internet is not connected
2017/12/02 14:28:32.98: internet is not connected
2017/12/02 14:28:32.99: internet is not connected
2017/12/02 14:28:33.00: internet is not connected
2017/12/02 14:28:33.00: internet is not connected
2017/12/02 14:28:33.01: internet is not connected
2017/12/02 14:28:33.01: internet is not connected
2017/12/02 14:28:33.02: internet is not connected
2017/12/02 14:28:33.03: internet is not connected
2017/12/02 14:28:33.03: internet is not connected
2017/12/02 14:28:33.04: internet is not connected
2017/12/02 14:28:33.05: internet is not connected
2017/12/02 14:28:33.05: internet is not connected
2017/12/02 14:28:33.06: internet is not connected
2017/12/02 14:28:33.06: internet is not connected
2017/12/02 14:28:33.07: internet is not connected
2017/12/02 14:28:33.08: internet is not connected
2017/12/02 14:28:33.08: internet is not connected
2017/12/02 14:28:33.09: internet is not connected
2017/12/02 14:28:33.10: internet is not connected
2017/12/02 14:28:33.10: internet is not connected
2017/12/02 14:28:33.11: internet is not connected
2017/12/02 14:28:33.11: internet is not connected
2017/12/02 14:28:33.12: internet is not connected
2017/12/02 14:28:33.13: internet is not connected
2017/12/02 14:28:33.13: internet is not connected
2017/12/02 14:28:33.14: internet is not connected
2017/12/02 14:28:33.15: internet is not connected
